epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,13735.4,1.80862,2.2635,1.81572,0.34715,0.30255,0.28053,0.12836,1.86719,2.26297,1.96854,0.000451066,0.000451066,0.000451066
62,13960.8,1.79083,2.22202,1.79586,0.52728,0.30943,0.27973,0.12777,1.85524,2.26679,1.94325,0.000440067,0.000440067,0.000440067
63,14186.3,1.79043,2.26094,1.79771,0.35155,0.29159,0.28637,0.13066,1.86727,2.21868,1.94974,0.000429068,0.000429068,0.000429068
64,14411.4,1.77257,2.19421,1.77835,0.33783,0.31892,0.29618,0.13352,1.86606,2.21382,1.94669,0.000418069,0.000418069,0.000418069
65,14636.6,1.80861,2.22344,1.79589,0.39157,0.32961,0.2877,0.12843,1.87237,2.23054,1.95982,0.00040707,0.00040707,0.00040707
66,14861.2,1.77211,2.21701,1.78305,0.3404,0.30372,0.28219,0.12809,1.86821,2.22596,1.94532,0.000396071,0.000396071,0.000396071
67,15086.5,1.77871,2.20719,1.79696,0.34645,0.28944,0.27654,0.12691,1.85037,2.20904,1.94535,0.000385073,0.000385073,0.000385073
68,15311.9,1.76644,2.18591,1.76442,0.35037,0.31078,0.28736,0.13367,1.85789,2.1959,1.93935,0.000374074,0.000374074,0.000374074
69,15537.4,1.76854,2.17349,1.76979,0.33773,0.31861,0.29815,0.13654,1.86349,2.19318,1.93743,0.000363075,0.000363075,0.000363075
70,15763.2,1.76351,2.15946,1.76578,0.32438,0.3445,0.30751,0.13867,1.87285,2.17472,1.94256,0.000352076,0.000352076,0.000352076
71,15989.3,1.7618,2.14352,1.74904,0.3343,0.33116,0.29745,0.13311,1.87188,2.17225,1.94,0.000341077,0.000341077,0.000341077
72,16215,1.75768,2.13654,1.74501,0.34295,0.32942,0.30208,0.13573,1.8632,2.18353,1.93872,0.000330078,0.000330078,0.000330078
73,16440.4,1.75017,2.12478,1.74631,0.36496,0.31509,0.30461,0.13797,1.86186,2.17346,1.9426,0.000319079,0.000319079,0.000319079
74,16665.5,1.7484,2.13095,1.76044,0.37132,0.33103,0.32391,0.14294,1.87199,2.16043,1.9533,0.00030808,0.00030808,0.00030808
75,16891.3,1.73497,2.07967,1.74116,0.31969,0.35901,0.31224,0.14219,1.87156,2.1602,1.94679,0.000297081,0.000297081,0.000297081
76,17116.4,1.73049,2.07625,1.74093,0.35077,0.31227,0.30963,0.14018,1.8811,2.15864,1.95058,0.000286083,0.000286083,0.000286083
77,17341.4,1.72654,2.05047,1.72494,0.35044,0.31773,0.30897,0.13943,1.88545,2.15557,1.95097,0.000275084,0.000275084,0.000275084
78,17566.9,1.72188,2.05545,1.73999,0.34121,0.34509,0.31376,0.14398,1.87475,2.13376,1.94716,0.000264085,0.000264085,0.000264085
79,17792.3,1.72218,2.05918,1.74658,0.37236,0.32722,0.31113,0.14205,1.86603,2.14596,1.95143,0.000253086,0.000253086,0.000253086
80,18017.1,1.70951,2.03484,1.73136,0.41651,0.35959,0.31543,0.14428,1.89377,2.13184,1.9559,0.000242087,0.000242087,0.000242087
81,18242.5,1.71244,2.01796,1.72884,0.36604,0.32125,0.30924,0.14109,1.89617,2.13498,1.96193,0.000231088,0.000231088,0.000231088
82,18467.9,1.7026,2.02159,1.71008,0.38664,0.32373,0.31125,0.14257,1.89528,2.13382,1.95957,0.000220089,0.000220089,0.000220089
83,18693.4,1.68527,2.01591,1.71688,0.36922,0.3397,0.3148,0.14211,1.89108,2.12371,1.96581,0.00020909,0.00020909,0.00020909
84,18918.9,1.69981,2.02508,1.71976,0.36946,0.33685,0.31511,0.14289,1.88292,2.1174,1.95661,0.000198091,0.000198091,0.000198091
85,19144.2,1.70052,2.01093,1.72494,0.3791,0.33253,0.31592,0.1427,1.88811,2.13486,1.96137,0.000187092,0.000187092,0.000187092
86,19369.8,1.68831,1.96241,1.70877,0.38119,0.3361,0.32125,0.14812,1.897,2.12032,1.96379,0.000176094,0.000176094,0.000176094
87,19595.4,1.68781,1.96952,1.71112,0.3674,0.34558,0.32109,0.14584,1.90064,2.12333,1.96864,0.000165095,0.000165095,0.000165095
88,19821.1,1.6769,1.96224,1.70449,0.42427,0.36746,0.32257,0.14524,1.89838,2.12043,1.96822,0.000154096,0.000154096,0.000154096
89,20046.1,1.68196,1.93005,1.69508,0.38898,0.33199,0.31678,0.14425,1.90177,2.12181,1.97382,0.000143097,0.000143097,0.000143097
